Index,EUR.USD
2019-07-11,1.126382
2019-07-12,1.126306
2019-07-13,1.12706
2019-07-14,1.127064
2019-07-15,1.126706
2019-07-16,1.123149
2019-07-17,1.121831
2019-07-18,1.123893
2019-07-19,1.123904
2019-07-20,1.12208
2019-07-21,1.122036
2019-07-22,1.121522
2019-07-23,1.117278
2019-07-24,1.114322
2019-07-25,1.114144
2019-07-26,1.113497
2019-07-27,1.1128
2019-07-28,1.112824
2019-07-29,1.113268
2019-07-30,1.114711
2019-07-31,1.113006
2019-08-01,1.105686
2019-08-02,1.109708
2019-08-03,1.11084
2019-08-04,1.110841
2019-08-05,1.116736
2019-08-06,1.120354
2019-08-07,1.120808
2019-08-08,1.120272
2019-08-09,1.11993
2019-08-10,1.120065
2019-08-11,1.120087
2019-08-12,1.120517
2019-08-13,1.119128
2019-08-14,1.116173
2019-08-15,1.11299
2019-08-16,1.109163
2019-08-17,1.109035
2019-08-18,1.109096
2019-08-19,1.10926
2019-08-20,1.10882
2019-08-21,1.109541
2019-08-22,1.10847
2019-08-23,1.109618
2019-08-24,1.11418
2019-08-25,1.114282
2019-08-26,1.111985
2019-08-27,1.109957
2019-08-28,1.108508
2019-08-29,1.107011
2019-08-30,1.10219
2019-08-31,1.09901
2019-09-01,1.099012
2019-09-02,1.097537
2019-09-03,1.095288
2019-09-04,1.100766
2019-09-05,1.103965
2019-09-06,1.103518
2019-09-07,1.10278
2019-09-08,1.102744
2019-09-09,1.103984
2019-09-10,1.104314
2019-09-11,1.10217
2019-09-12,1.103146
2019-09-13,1.107842
2019-09-14,1.10743
2019-09-15,1.10747
2019-09-16,1.103728
2019-09-17,1.103544
2019-09-18,1.105247
2019-09-19,1.104774
2019-09-20,1.103432
2019-09-21,1.10202
2019-09-22,1.101988
2019-09-23,1.099845
2019-09-24,1.100128
2019-09-25,1.097738
2019-09-26,1.094024
2019-09-27,1.093114
2019-09-28,1.09409
2019-09-29,1.094115
2019-09-30,1.091694
2019-10-01,1.090904
2019-10-02,1.094047
2019-10-03,1.096542
2019-10-04,1.097752
2019-10-05,1.09792
2019-10-06,1.097952
2019-10-07,1.097968
2019-10-08,1.096992
2019-10-09,1.097338
2019-10-10,1.100732
2019-10-11,1.10304
2019-10-12,1.103705
2019-10-13,1.103644
2019-10-14,1.102764
2019-10-15,1.102498
2019-10-16,1.104932
2019-10-17,1.11048
2019-10-18,1.11418
2019-10-19,1.11703
2019-10-20,1.11685
2019-10-21,1.115654
2019-10-22,1.114028
2019-10-23,1.112338
2019-10-24,1.112166
2019-10-25,1.109628
2019-10-26,1.107985
2019-10-27,1.108004
2019-10-28,1.109178
2019-10-29,1.109884
2019-10-30,1.112086
2019-10-31,1.115662
2019-11-01,1.116014
2019-11-02,1.11654
2019-11-03,1.116545
2019-11-04,1.11534
2019-11-05,1.110306
2019-11-06,1.10765
2019-11-07,1.106165
2019-11-08,1.103546
2019-11-09,1.101915
2019-11-10,1.101932
2019-11-11,1.103014
2019-11-12,1.102126
2019-11-13,1.100879
2019-11-14,1.10073
2019-11-15,1.103585
2019-11-16,1.10514
2019-11-17,1.105149
2019-11-18,1.106652
2019-11-19,1.10754
2019-11-20,1.106919
2019-11-21,1.10731
2019-11-22,1.104846
2019-11-23,1.101965
2019-11-24,1.101977
2019-11-25,1.101638
2019-11-26,1.101647
2019-11-27,1.100712
2019-11-28,1.100796
2019-11-29,1.101034
2019-11-30,1.101885
2019-12-01,1.101895
2019-12-02,1.10408
2019-12-03,1.107869
2019-12-04,1.107958
2019-12-05,1.10927
2019-12-06,1.108348
2019-12-07,1.10601
2019-12-08,1.105997
2019-12-09,1.106406
2019-12-10,1.107923
2019-12-11,1.109702
2019-12-12,1.113524
2019-12-13,1.11545
2019-12-14,1.112055
2019-12-15,1.112104
2019-12-16,1.113923
2019-12-17,1.114908
2019-12-18,1.112714
2019-12-19,1.1125
2019-12-20,1.109812
2019-12-21,1.10765
2019-12-22,1.107672
2019-12-23,1.10844
2019-12-24,1.108498
2019-12-25,1.108864
2019-12-26,1.109466
2019-12-27,1.114722
2019-12-28,1.11758
2019-12-29,1.11761
2019-12-30,1.11993
2019-12-31,1.121562
2020-01-01,1.121254
2020-01-02,1.119305
2020-01-03,1.115983
2020-01-04,1.11594
2020-01-05,1.11597
2020-01-06,1.118231
